common_names,other names,country_of_origin
Aleatico,"Aglianico nero, Agliano, Agliatico, Aleatiau, Aleatica, Aleatica di firenze, Aleatichina, Aleatico, Aleatico ceragino, Aleatico ciliegino, Aleatico comune, Aleatico de corse, Aleatico de florence, Aleatico de portoferraio, Aleatico de solmona, Aleatico dell'elba, Aleatico di altamura, Aleatico di benevento, Aleatico di firenze, Aleatico di portoferraio, Aleatico di sulmona, Aleatico di toscana, Aleatico gentile, Aleatico nera della toscana, Aleatico nero, Aleatico nero della toscana, Aleatico nero di fermo, Aleatico nero di firenze, Aleatico perugino, Aleaticonera, Aleaticu, Aleatiko, Aleatiko nero, Alegatico, Aliatico, Aliatico di benevento, Aliaticu, Alleaticu, Allianico, Allianico degli abruzzi, Blacan, Halapi, Ispanskii rozovyi, Lacrima christi, Lakrima dolche, Lakrima kriati, Leatico, Livatica, Mockatele livatike, Moscatele livatice, Moscatelle livatiche, Moscatello nero, Moscato nero, Moskatele livatike, Muscatellus, Muskat toskanski, Muskat toskanskij, Myuskatele livatike, Nero, Occhio di pernice, Occhio di pernice nera, Ogliatico, Pelaverde, Rossanella, Uva aleatica, Uva aleatico, Uva dei gesuiti, Uva liatica, Uva liatika, Vernaccia di pergola, Vernaccia moscatella.",Italy
Alexandroouli,"Aleksandroouly, Aleksandrouli, Aleksandrouli shavi, Alexandreouli, Alexandreuli, Alexandroouli, Alexandrouly, Alexsandrouli, Kabistona, Kabistoni.",Georgia
Alexander,"Alexandria, Black cape, Black grape, Buck grape, Cape, Cape grape, Clifton's constantia, Clifton's lombardia, Columbian, Constantia, Farkers
grape, Madeira of york, Rothrock, Rothrock of prince, Schuylkill, Schuylkill
muscadel, Schuylkill muscadine, Springmill constantia, Tasker's grape, Vevay, Vevay
winne, Winne, York lisbon.",United States
Alfrocheiro,"Albarin frances, Albarin negrin, Albarin negro, Albarin tinto, Albarinon, Alfrocheiro preto, Alfrucheiro, Alfurcheiro, Baboso negro, Bastardo negro, Brunal, Caino gordo, Tinta bastardinha, Tinta francesa de viseu, Tinta francisca de viseu, Tinto serodo.",Portugal
Alicante Henri Bouschet,"Alicant de pays, Alicante, Alicante bouchet, Alicante bouschet, Alicante bouschet crni, Alicante extra fertile, Alicante femminello, Alicanteh Bouschet, Alicante nero, Alicante noir, Alicantina, Alikant buse, Alikant, Buse bojadiser, Alikant bushe, Alikant bushe ekstrafertil, Alikant genri bushe, Alikante henri bouschet, Aragonais, Aragones, Arrenaou, Baga, Bakir uezuemue, Barvarica, Blasco, Bojadiserka, Carignan jaune, Cupper grape, Dalmatinka, Garnacha, Garnacha tintorera, Kambusa, Lhadoner, Moraton, Mouraton, Murviedro, Negral, Pe de perdiz, Pe de pombo, Petit bouschet, Redondal, Rivesaltes, Rivos altos, Roussillon, Rouvaillard, Sumo tinto, Tinta fina, Tinta francesa, Tinto, Tinto nero, Tinto velasco, Tintorera, Tintorera de liria, Tintorera de longares, Tinturao, Uva di spagna.",France
Allegro,Geisenheim,Germany
Amaral,"Amaral preto, Azal, Azal preto, Azal tinto, Azar, Cachon, Cainho bravo, Cainho miudo, Caino, Caino bravo, Caino tinto, Cainzinho, Sousao, Sousao galego.",Portugal
Ancellotta,NA,Spain
André (grape) [cs],"Andrea, Semenac.",Czech Republic
Antey Magarachsky,"Antei magarachskii, Antei, Antei magaracha, Antei magaratchsky, Antej magaratscha, Antey magarachskii, Magarach.",Ukraine
Aragónez,"Albillo negro, Aldepenas, Aragon, Aragones, Aragonez, Aragonez da ferra, Aragonez de elvas, Arauxa, Arganda, Arinto tinto, Cencibal, Cencibel, Cencibera, Chinchillana, Chinchillano, Chinchilyano, Crujidera, Cupani, De por aca, Escobera, Garnacho fono, Grenache de logrono, Jacibera, Jacibiera, Jacivera, Juan garcia, Negra de mesa, Negretto, Ojo de liebre, Olho de lebre, Palomino negro, Pinuela, Roriz, Sensibel, Tempranilla, Tempranillo, Tempranillo crni, Tempranillo de la rioja, Tempranillo de perralta, Tempranillo de rioja, Tempranillo de rioza, Tempranillo rioja, Tinta aragones, Tinta corriente, Tinta de madrid, Tinta de santiago, Tinta de toro, Tinta del pais, Tinta do inacio, Tinta do pais, Tinta fina, Tinta madrid, Tinta monteira, Tinta monteiro, Tinta roris, Tinta roriz, Tinta santiago, Tinto aragon, Tinto aragones, Tinto aragonez, Tinto de la ribera, Tinto de madrid, Tinto de rioja, Tinto de toro, Tinto del pais, Tinto del toro, Tinto fino, Tinto fino de Madrid, Tinto madrid, Tinto pais, Tinto ribiera, Tinto riojano, Tinto tempranillo, Ull de liebre, Ull de llebre, Valdepenas, Verdiell, Vid de aranda.",Spain
Aramon Noir,"Amor Nao Me Deixes, Aramon, Aramon Chernyi, Aramon Crni, Aramon Negro, Aramon Noire, Aramon Pignat, Aramon Pigne, Aramon Rozovyi, Aramon Saint Joseph, Aramone, Aramonen, Aramont, Arramant, Arramont, Burchardt's Prince, Burckarti Prinz, Burkhardt, Eramoul, Eromoul, Gros Bouteillan, Kek Aramon, Pisse Vin, Plant Riche, Rabalaire, Ramonen, Reballaire, Reballayre, Revalaire, Revellaire, Ugni Neru, Ugni Nevu, Ugni Noir, Uni Negre, Uni Noir.","France, Languedoc"
Areni,"Areni sev, Areni chemyl, Areni chernyi, Areni noir, Areni tcheurny, Areny, Areny tcherny, Lyalai, Malagi, Malagui, Malahi noir, Malai sev, Malat, Malayi, Memeyi, Mialai, Milahi, Milai chernyi, Milai noir, Milaj sev, Milakhi, Movouz, Movuz, Myalai, Myalan, Ordoutchi sev, Ordoutzi sev, Ordutsi sev, Orduzi sev, Ourdoussi, Ourdusi, Ourza sev, Sev areni, Sev malahi, Urdusi, Ursa sev, Urza sev, Usza sev.",Armenia
Argaman,NA,Israel
Argant,"Argan, Blaue Gansfuesser, Blauer Gansfuesser, Bockshorn, Buchser, Erlenbacher, Espagnol, Gaensefuessler, Gaensfuessel, Gaensfuesser, Gaensfuesser Blau, Gaensfuessler, Gansfyuser, Gros Margilien Espagnol, Gros Margillien, Gros Margillien Arbois, Grossrote, Margilien, Margillien, Margillin, Rouillot, Schwarzer Erlenbacher, Tokai Chernyi, Tokai Rannii.",Spain
Arinarnoa,NA,France
Arinto de Bucelas,"Arintho, Arinto Cachudo, Arinto Cercial, Arinto D'anadia, Arinto Galego, Asal Espanhol, Asal Galego, Assario Branco, Azal Espanhol, Azal Galego, Boal Cachudo, Branco Espanhol, Cerceal, Chapeludo, Malvasia Fina, Pe De Perdiz Branco, Pederna, Pedernao, Pedrena, Terrantez Da Terceira, Val De Arintho.",Portugal
Arnsburger,"Arns burguer, Arnsburguer, Geisenheim.",Germany
Arrouya,"Arhuya, Aroyat, Arrouyat, Arroya, Arruya, Dourec Noir, Eremachaoua, Erematxahua, Rouja, Vieux Rouge.","France, Jurançon AOC"
Ashughaji,"Achougage, Atpizh, Atpyuzh, Atriuzh, Atvige, Atvizh, Ashugazh.",Georgia
Aspiran Bouschet,"Aspiran Bouchet, Aspiran Bouson, Grand Noir De Laques, Spigamonti.","France, Languedoc"
Aspiran Noir,"Aspiran, Aspiran Chernyi, Aspiran Csornüj, Aspirant, Epiran, Espiran, Peyral, Peyrar, Piran, Ribeyrenc, Rivairenc, Riverain, Riveyrenc, Riveyrene, Spiran, Verdai, Verdal, Verdal Noir.",France
Assario,Assario Negro,Portugal
Asuretuli Shavi,"Assouretouli, Assouretouli chavi, Asuretuli, Asuretuli sciavi, Chalbtchbaru, Chalbtraouvan, Chalchvarce, Chale, Chaltraouben, Sal uezuem, Schalltraube, Shadi traube, Shal, Shal izyum, Shal uzum, Shal'shvarsh, Shal'shvarts, Shala, Shalsharz, Shalshvari, Shalshvarts, Shaltraube, Shaltrauben.",Georgia
Aubun,NA,"France, Rhone valley"
Avanà,"Alvana Di Susa, Avana, Avana De Susa, Avana Di Susa, Avana Nero, Avanale, Avanas, Avanato, Avane, Avena, Avenai, Bibou, Davana, Guibou, Havana, Havana, Hibou, Hibou Noir, Hivernais, Hyvernais, Luisant, Palofrais, Polafrais, Polofrais, Pometre, Promeche, Promere, Raisin Cerise, Ribou, Vermaglio.","Italy, Piedmont"
Avarengo,"Amarene, Avarena, Avarenc, Avarene, Avarengo Comune, Avarengo Comune Nero, Avarengo Di Piemonte, Avarengo Fino, Avarengo Grosso, Avarengo Mezzano, Avarengo Piccolo, Avarengo Rama-Bessa, Avarengo Ramabessa, Avarengo Ramafessa, Boffera, Croassera, Mostera Ivrea, Mostera Nera, Mosterce, Mostero, Mostero Rosso, Mosto, Mostona, Mostosa, Mostoson, Muster, Riondasca, Riondosca, Riundasca, Rondasca.","Italy, Piedmont"
Avgoustiatis,"Avgoustella, Aygoustiates.",Greece
Băbească neagră,"Aldarusa, Asil Kara, Babeasca, Babiasca Niagra, Babiaska Niagra, Bobiaska Niagra, Bobyaksa Nigra, Bobyaska Nyagra, Bobyaska Nyaqra, Caldarusa, Cerniy Redkiy, Chernyi Redkii, Chernyj Redkij, Chernyl Redkyl, Ciornai Redchii, Ciornii Redchii, Coldarusha, Copuiac, Cracana, Cracanata, Crecanat, Crecanate, Gara Serektsiya, Gara Serexia, Goldaroucha, Grossmuttertraube, Hexentraube, Kaouchanskii, Koldaroucha, Koldarusa, Koldarusha, Koldursha, Koptchak, Koptchakk, Krekanat, Krekanate, Loose Black Grape, Neagra Rara, Niagra Rara, Nyagra Rara, Poama Rara Neagra, Poma Rara Niagra, Poma Rara Nyagra, Qara Dereksiya, Racanata, Ramturata, Rara Neagra, Rara Negra Moldarsky, Rara Niagra, Rara Nyagra, Rara Nyaqra, Raraneagra, Raschirata, Rastoparca, Rastopirka, Rastopyrka, Rastrepa, Rastreppa, Rastriopa, Redkyi Chernyi, Rekhavo Grazdi, Rekhavo Grozdi, Rekhavo Grozdy, Rexavo Grozdi, Richkirate, Richkiriata, Riedkym, Rimpurate, Rimtsurate, Rimtzourate, Rindsourata, Rishki Rate, Rishky Rate, Riski Rate, Rossmuffertraube, Rostopiska, Rostopoveska, Rychkirate, Rymourate, Rympurate, Ryshkirate, Saesser, Sassep, Sasser, Serecsia, Serecsia Ciornaia, Serectia, Serectia Ciornaia, Serekcia Tcheurnaia, Sereksia, Sereksia Chornaya, Sereksiya, Sereksiya Chernaya, Sereksiya Tschiornaya, Serektsiya, Serescia, Serexia, Serexia Noir, Serexia Tcheurnaia, Sesser, Stropatai, Stropatny, Stropatnyj, Stropaty, Stropatyi, Tchernyi Redkii, Tcheurny Redky, Timofeevka, Totlear, Tsotler, Tsotlyar.",Romania
Babić,"Babcevica, Babic Crni, Babic Mali, Babic Pivati, Babic Pluskavi, Babic Veliki, Babica Crna, Babica Crni, Babica Gresljivka Crni, Babica Mala, Babica Velika, Babicevic, Babicevica, Babika, Babika Vela, Babina, Babinka, Babinka Vela, Babitch, Babitza, Babytch, Crnac Rani, Crnac Rani A Sibenik, Divljak A Zadar, Grastavac, Gresljivka, Pazanin, Resljivka, Rogoznicanin, Rogoznicka, Roguljanac, Roguljanak A Sibenik, Shibenchanatz, Sibencanac, Sibencanac A Zadar.",Croatia
Bachet Noir,"Bachet, Bachey, Francois, Francois Noir, Francois Noir De Bar-Sur-Aube, Gris Bachet.",France
Baco Noir,"Baco, Baco Negru, Bacoi, Bago, Bako Noar, Bako Sieiski, Bako Speiskii, Bakon, Wolfschlugen, Frybert.",France
Baga,"Baga De Louro, Bagrina Crvena, Baguinha, Bairrada, Bairrado Tinta, Baya, Carrasquenho, Carrega Burros, Goncalveira, Morete, Moreto, Paga Divida, Paga Dividas, Poeirinha, Poeirinho, Povolide, Preiinho, Pretinho, Preto Rifete, Rifete, Rosete, Tinta Bairrada, Tinta Bairradina, Tinta Da Bairrada, Tinta De Baga, Tinta Fina.",Portugal
Barbera,"Barbera Amaro, Barber a Raspo Rosso, Barbera a Peduncolo Rosso, Barbera a Peduncolo verde, Barbera a Raspo verde, Barbera Crna, Barbera d'Asti,  Barbera dolce, Barbera fina, Barbera forte, Barbera grossa, Barbera Mercantile, Barbera Monferrato, Barbera nera, Barbera Nostrana, Barbera riccia, Barbera Rissa, Barbera rosa, Barbera vera, Barberone, Besagno,  Cosses Barbusen, Gaietto, Lombardesca, Ughetta",Italy
Barbera del Sannio,NA,"Italy, Campania"
Barbera Sarda,NA,"Italy, Sardinia"
Barsaglina,"Barsullina, Bersaglina, Massareta, Massaretta","Italy, Tuscany and Liguria"
Bastardo Magarachsky,"Bastardo Magarachskii, Bastard De Magaraci, Bastard Von Magaratsch, Bastardo Magaraca, Bastardo Magarach, Bastardo Magarachsky, Bastardo Magaratchskii, Basztardo Magaracsszkij, Magarach Bastardo, Magaratch.",Ukraine
Beaunoir,"Beau Noir, Beaunoire, Cep Gris, Co Gris, Mourillon, Pinot D'Ai, Pinot D'Ailly, Pinot D'Orleans, Seau Gris, Sogris.",France
Béclan,"Beclan Petit, Baccalan, Baclan, Baclans, Becclan, Beikian, Beitrian, Durau, Dureau, Duret, Margillin Petit, Petit Beclan, Petit Dureau, Petit Margillin, Rousette Noire, Saunoir, Saut Noir, Sceau Noir, Seaut Noir, Suessschwarz.",France
Beichun,Bei Chun,China
Bekari,"Bekaro, Mbekari Mavro, Mbekaro, Mpekari, Mpekari Mavro, Mpekaro.",Greece
Belat,NA,Spain
Béquignol Noir,"Balouzat, Bequignaou, Bequin Rouge, Blanc Fer, Bouton Blanc, Breton, Cabernet, Camerouge, Chalosse Noir, Chalosse Noire, Chausse, Chausset, Egrenant, Embalouzat, Enrageat Rouge, Grosse Here, Here, Jurancon, Mancais Noir, Maouron, Mauron, Micardeau, Negrotte, Noir Cimrah, Noir De Cimrah, Noir De Valin, Petit Fer, Plant De Dissay, Prunalet, Raboso Piave, Sencit Gris",France
Biborkadarka,"Bibor Kadarka, Biborkadarsa.",Hungary
Black Queen,"Pok Dum, Pokdum",Japan
Blatina,"Blarina Velika Prarnobacva, Blathina, Blatina Black, Blatina Blaue, Blatina Crna, Blatina Hercegovacka, Blatina Mala, Blatina Nera, Blatina Noir, Blatina Noire, Blatina Velika, Blatyna, Praznobacva, Praznobatchva, Stara Zilavka, Tribidrag, Tribirad, Trzhbii Drak, Zilavka Stara, Zlorod.",Bosnia & Herzegovina
Blauburger,Klosterneuburg,Austria
Blauer Arbst / Pinot Noir,"Pinot Noir, Aprofekete, Arbst, Arbst Blau, Arbst Blauer, Assmannshaeuser, Augustiner, Auvergnat, Auvernas, Auvernas Rouge, Auvernat, Auvernat Noir, Auxerra, Berligout, Black Burgundy, Black Morillon, Blak Burgundy, Blau Burgunder, Blauburgunder, Blauer, Blauer Augustiner, Blauer Burgunder, Blauer Claevner, Blauer Clevner, Blauer Klaevener, Blauer Klaever, Blauer Klevner, Blauer Klewner, Blauer Nuernberg, Blauer Nuernberger, Blauer Rischling, Blauer Seeklevner, Blauer Spaetburgunder, Blauer Sylvaner, Blaw Shpet Burgunder, Bodenseetraube, Bodenseetraube Blaue, Boehmischer, Bon Plant, Borgogna Nera, Borgogna Nero, Borgogna Rosso, Bourgignon, Bourgignon Noir, Bourgoignon Noir, Bourguignon Gros, Bourguignon Noir, Bourguignon Petit, Bruenlaeubler, Burgunda, Burgundac Cernii, Burgundac Crni, Burgundac Crni Pozni, Burgunder, Burgunder Blau, Burgunder Blauer, Burgunder Grosse Blaue, Burgunder Kleine Blaue, Burgunder Roter, Burgunder Schwarz, Burgundi Crni, Burgundi Mic, Burgundske Modre, Cerna Okrugla, Cerna Okrugta Banka, Cerna Ranka, Chambertin, Champagner, Cherna, Chiavenase, Chiavenna, Chpatchok, Claevner, Claevner Blau, Claevner Schwarz, Clavensis, Clevner, Cortaillod, Derice Auvernas Noir, Dickblau, Echter Schwarzblauer Klevner, Elsasser Rot, Elsasser Rother, Fin Noir, Fin Noir De Toulon, Fin Plant Dore, Formentin Noir, Fraenkische Schwarze, Franc Noiren, Franc Noirien, Franc Pineau, Franc Pinot, Francois Noir, Frischschwarzer, Fruehblaue, Fruehblauer, Fruehschwarzer, Fruhblauer, Gamais, Genetin De St. Menin, Gentil Noir, Glaevinger, Glasschwarz, Gribalet Noir, Grobes Suesschwarz, Grosse Burgunder, Grosse Fruehschwarze, Gut Blau, Gutblau, Jakabszoeloe, Karapino, Kek Burgundi, Kek Kisburgundi, Kek Klevner, Kek Rulandi, Kis Burgundi, Kis Burgundikek, Kisburgundi Kek, Kisburgundikek, Klaevner, Klaevner Schwarz, Klebrot, Klebroth, Klebrott, Kleine Burgunder, Kleiner Burgunder, Kleinrot, Kleinroth, Klevinger, Klevner, Klevner Kek, Klevner Schwarzblau, Korai Kekburgundi, Langedet, Maehrchen, Malterdinger, Maltertinger, Maria Feld, Marillon N, Massoutel, Massoutet, Maurillon, Mensois, Modra Burgunda, Modra Klevanja, Modra Klevanjka, Modra Klevanyka, Modri Pinot, Moehrchen, Mohrenkoenigin, Mohrenkoenigin Fruehblaue, Mor Burgunder, Moreote Noir, Moreotische Traube, Morillon, Morillon Noir, Nagyburgundi, Nere, Neyran, Neyron Petit, Noble, Noble Joue, Noir De Franconier, Noir De Versitch, Noir Menu, Noir Meun, Noiried, Noirien, Noirien Franc, Noirien Ternent, Noirin, Noirun, Okrugla Ranka, Ordinaerer Blauer, Ordinaerer Rother, Orleans, Petit Noir, Petit Noirin, Petit Plant Dore, Petit Verot, Pignol, Pignola, Pignolet, Pignoliga, Pignolo, Pignuola, Pimbart, Pineau, Pineau De Bourgogne, Pineau De Bourgoyne, Pineau De Chambertin, Pineau De Gevrey, Pineau Franc, Pineau Noir, Pino Black, Pino Ceren, Pino Cernii, Pino Cheren, Pino Chernyi, Pino Chernyj, Pino Corni, Pino Cornij, Pino Fran, Pino Go, Pino Negru, Pino Nero, Pino Nuar, Pino Qo, Pinot, Pinot Cernii, Pinot Clevner Cl. Maria- Feld, Pinot Crni, Pinot D'Ay, Pinot De Chambertin, Pinot De Fleury, Pinot De Gevrey, Pinot De Migraine, Pinot Droit, Pinot Fin, Pinot Franc Noir, Pinot Mare, Pinot Mariafeld, Pinot Negru, Pinot Nera, Pinot Nero, Pinot Noar, Pinot Noir Cortaillod, Pinot Noir Cortaillod 9-18, Pinot Noir Salvagnin, Pinot Salvagnin, Pinot Tinto, Plack Morillon, Plant A Bon Vin, Plant Dae, Plant De Cumieres, Plant De La Dole Noir, Plant De S. Martin, Plant Dore, Plant Fin, Plant Medaille, Plant Noble, Pynoz, Qara Pino, Raisin De Bourgogne, Raucy, Raucy Male, Roter Assmannhaeuser, Roter Assmannshaeuser, Roter Burgunder, Rother, Rother Assmannshaeuser, Rother Burgunder, Rouci, Rouci Male, Rouci Modre, Roucimodre, Rouget, Rulandske Modre, Salvagnin, Salvagnin Noir, Samoireau, Samoreau, Samtrot, Saumensois, Saumoireau, Savagin Noir, Savagnin Noir, Schurzir Riesling, Schwartz Klevner, Schwarz Traeuble, Schwarzblauer Klevner, Schwarze Fraenkische, Schwarzer, Schwarzer Assmannshaeuser, Schwarzer Burgunder, Schwarzer Champagner, Schwarzer Klaevner, Schwarzer Klevner, Schwarzer Riesling, Schwarzer Rissling, Schwarzer Suessling, Schwarzer Tokayer, Schwarzklaevner, Schwarzklevner, Schwarztraeuble, Servagnin Noir De Seyssel, Sevagnin Noir, Shpachock, Shpachok, Shpetburgunder, Spacok, Spaetburgunder, Spaetburgunder Blauer, Spaeter Burgunder, Spaetes Moehrchen, Spaetes Moerchen, Spatburgunder, Spetburgunder, Suesschwarz Grobes, Suessedel, Suessling, Suessrot, Suessroth, Suessschwarz, Suessschwarzer, Susschwarzer, Sussedel, Sussrot, Sussschwarzer, Talvagnere Rouge, Talvagnues Rouges, Ternent, Thalrother, Tinto, Traminer Blau, Traminer Schwarz, Vert Dore, Vrai Auvernas, Waltertinger.",France
Blauer Wildbacher,"Wildbacher Blau, Blauer Greutler, Blauer Kracher, Dioljak, Divljak, Echter Blauer Wildbacher, Echter Wildbacher Blau, Fruehblaue, Fruehblauer Wildbacher, Graeutler, Graeutler Blauer, Grosser Mauserl, Grosses Mauserl, Gutblaue, Kauka Schlechte, Kleinblaue, Kracher Blauer, Kraeutler Blau, Mali Zherni, Maslerl, Mauserl, Mauserl Grosses, Pticnik Crni, Ptinik Crni, Schilcher, Schilchertraube, Schillertraube, Schlechte Kauka, Schlehenolauer Wildbacher, Spaete Blauer Wildbacher, Tizhnik, Vildbasske, Vranek, Vranac, Wildbacher.",Austria
Blaufränkisch / Limberger,"Blanc Doux, Blau Fraenkisch, Blau Fraenkische, Blauer Lemberger, Blauer Limberger, Blaufränkisch, Blaufranchis, Blaufranchisch, Blue French, Burgund Kekfrankos, Burgund Mare, Cerne, Cerne Skalicke, Cerne Starosvetske, Cerny Muskatel, Chirokolistny, Cierny Zierfandler, Crna Frankovka, Crna Moravka, Fernon, Fraenkische, Fraenkische Schwarz, Franconia, Franconia nera, Franconia nero, Franconien bleu, Franconien noir, Frankinja, Frankinja Modra, Frankovka, Frankovka Cerna, Frankovka Crna, Frankovka Modra, Fruehschwarze, Game, Grossburgunder, Imberghem, Imbergher, Jubilaeumsrebe, Karmazin, Kekfrank, Kek Frankos, Kekfrankos, Lampart, Lemberger, Limberg,  Limberger blauer, Limberger noir, Limburske, Maehrische, Modra Frankija, Modra Frankinja, Modry Hyblink, Moravka, Moravske, Muskateller Schwarz, Nagyburgundi, Neskorak, Neskore, Neskore Cierne, Noir de Franconie, Oporto, Orna Frankovka, Portugais Lerouse, Portugais Leroux, Portugais Rouge, Portugieser Rother, Pozdni, Pozdni Skalicke Cerne, Schwarz Limberger, Schwarz Fraenkische, Schwarzer Burgunder, Schwarzgrobe, Serina, Shirokolistnyi, Sirokolidtnyj, Sirokolstnii, Starosvetske, Starovetsky Hrozen, Szeleslevelue, Teltfuertue Kekfrankos, Teltfurtu Kekfrankos, Vaghyburgundi, Velke Bugundske, Vojvodino",Austria
Bobal,"Balau, Balauro, Benicarlo, Boal, Bobal Noir, Bobos, Carignan D'Espagne, Carignan D'Espagne A Fronton, Carignan Espagnol, Coreana, Espagnol, Folle Blanche Du Minervois, Moravio, Pobreton, Provechon, Rageno, Rajeno, Requena, Requenera, Requeno, Terret D'Espagna, Terret D'Espagne, Tinta Madrid, Tinto De Requena, Tinto De Zurra, Tonto De Zurra, Valenciana, Valenciana Tinta, Valenciana Tinto, Vinate.","Spain, Utiel-Requena"
Boğazkere,"Saraplik Siyah, Siyah Saraplik.","Turkey, Elazığ Province"
Bombino Nero,"Bambino, Buonvino, Buonvino Nero, Calatamuro Nero, Cola Tamburo Nero.",Italy
Bonamico,"Buenamico, Buon Amico, Buonamico, Canaiolo Romano, Ceragia, Dorace, Durace, Giacomino, Neret, Neyret, Pulera, Sangioveto, Tinto, Uva Di Palaia, Uva Rosa.","Italy, Tuscany"
Bonarda Piemontese,"Balsamina, Banarda Di Chieri, Bonarda, Bonarda A Grandes Grappes, Bonarda Del Monferrato, Bonarda Dell' Astigiano, Bonarda Dell' Astigiano E Monferrato, Bonarda Di Asti, Bonarda Di Chieri, Bonarda Di Piemonte, Bonarda Di Pyemont, Bonarda Du Piemont, Bonarda Nera, Bonarda Nero, Driola, Kanaiolo Krasnyi.","Italy, Piedmont"
Bonda,NA,"Italy, Valle d'Aosta"
Bondola,"Bistershna Zhernina, Bistriska Crnina, Blaustiel Blau, Bonda, Bondola Nera, Bondoletta, Brieger, Briegler, Bundula, Chailloche, Longobardo, Mohrenkoenig.","Switzerland, Ticino"
Bondoletta,Bondola,Switzerland
Bonicaire,"Trepat, Embolicaire, Trapat, Traput, Trepan.",Spain
Bonvedro,"Bariadorgia, Bastardo, Bombedra, Bomogastro, Bomvedro, Bonifacienco, Bonifazino, Bonvedro, Bunifazinu, Cacagliola, Carcaghjoliu Neru, Carcaghjolu Neru, Carcagiola, Carcajiola, Carcajola Noir, Carcajolo, Carcajolo Nero, Carcajolo Noir, Cargajola, Caricagiola, Espagnin, Espagnin Noir, False Carignan, Lambrusco De Alentejo, Marota, Monvedro, Monvedro (Oeste), Monvedro De Sines, Monvedro Tinto, Morteira, Murteira, Paraletta, Parralada, Parraleta, Parreleta, Pau Ferro, Ribote, Ribote, Salceno Negro, Tinta Caiada, Tinta Da Lameira, Tinta Do Lameiro, Tinta Lameira, Tinta Murteira, Tintorro, Torres D'Algarve.",Spain
Borba,NA,Portugal
Borracal,"Azedo, Bagalhal, Bogalhal, Borraco, Borrasao, Bougalhal, Bovvaco, Cachino, Cainho Gordo, Cainho Grande, Cainho Grosso, Caino Del Pais, Caino Gordo, Caino Redondo, Caino Tinto, Esfarrapa, Esfarrapas, Espadeiro Redondo, Morraca, Murracal, Oil De Chapaud, Olho De Sapo, Tinta Femia, Tinta Femia De Aldan, Tinto Redondo",Portugal
